title,views_on_vd,time_in_minutes
See the moment North Korea launched a ballistic missile,11K,51
Boris Johnson says Wagner's rebellion signals Putin's political mortality,64K,840
Ukrainian ambassador rejects idea that Ukraine isn’t grateful enough for allies support,21K,1080
Kid Rock declared a Bud Light boycott. CNN visited his bar,70K,1440
Hear Pence’s response when asked why he didn’t concede 2020 election sooner,139K,1440
Millionaire reveals what he believes is a fair tax rate for the rich,34K,1440
Trump asks court to delay setting trial date in documents case,71K,2880
Tommy Tuberville doubles down on comments about White nationalists serving in the military,139K,2880
Disgraced ex-USA Gymnastics doctor Larry Nassar stabbed 10 times in prison,157K,2880
Kremlin says Putin met with Prigozhin days after short-lived mutiny,208K,4320
Megan Rapinoe makes announcement about her career,21K,5760
Why Vindman supports decision to send cluster munitions to Ukraine,161K,5760
Putin critic has theory on why Prigozhin's home got raided,1M,7200
Hear why Biden thinks Ukraine is not ready to join NATO,211K,7200
See the Belarus military camp that was intended for Wagner fighters,265K,8640
Special counsel prosecutors inquire about chaotic Oval Office meeting,165K,8640
Retired Maj. Gen. reacts to Russia allegedly using jets to harass US drones in Syria and can do,151K,8640
CNN asks Belarusian leader where Wagner chief is,393K,10080
Former Trump supporter says she was 'brainwashed',1.3M,10080
Prosecutors say man went to Obama’s DC neighborhood after Trump posted supposed address,558K,10080
Biden administration reacts to cocaine being found in White House,129K,11520
Zac Brown Band performs 'Chicken Fried' for July 4 celebration,36K,11520
Hear Flo Rida sing 'Low' for a July 4 crowd in Florida,32K,11520
Putin thanks allies for support during Wagner mutiny,335K,12960
Chasing Life presents The Prince Mixtape,6.7K,12960
Dutch king apologizes for Netherlands' role in slavery,50K,12960
Hear how McDonald's could help save the earth,53K,14400
Harrison Ford talks about how he wanted the ‘Indiana Jones’ saga to end,267K,14400
Buttigieg reacts to video shared by DeSantis campaign,370K,15840
Retired colonel explains lag in Ukrainian counteroffensive,251K,15840
Ukraine says Russia’s FSB plotting to kill leader of insurrection against Putin,925K,17280
State Department report details damning failings around Afghanistan withdrawal,231K,17280
Hear how livestream led to arrest of Jan. 6th suspect near Obama's home,137K,18720
Putin 'living in a parallel reality' after near collapse,189K,18720
Father of Parkland shooting victim reacts to ex-school officer found not guilty,51K,18720
What it costs to book Beyoncé or Flo Rida for your party,19K,18720
'He has no defense': Conway reacts to Trump's new explanation about classified docs,335K,2880
‘Cheapest person’: Chris Christie blasts Trump’s fundraising,629K,2880
‘He has been scared’: Ex-Russian official discusses Putin’s mindset,154K,2880
"What Wagner chief was really planning, according to report",1.2M,2880
Jason Derulo shares how he recovered from a broken neck,29K,2880
'It shocks me': Trump's former defense secretary reacts to classified docs audio,67K,2880
Retired general reveals Putin’s ‘mistake’,755K,2880
Former top investor in Russia details steps for Putin to retain power,222K,2880
Making the Most of the Bodies We Have,7.3K,2880
What Russia expert noticed about Putin’s speech,1.7M,2880
Hear what US State Department said about Wagner Group,54K,2880
Prigozhin says march was a protest and not intended to overturn power,224K,2880
'Fishy': Former DNI on Prigozhin deal with Russia,509K,2880
'Putin has been shaken': Ret. general on the effects of the Wagner insurrection,506K,2880
Columnist calls Wagner Group Putin's 'Frankenstein's monster',139K,2880
Ex-Russian FM on Wagner conflict: ‘Gangsters fighting for their piece of pie’,233K,2880
Putin issues blunt warning to Wagner group,645K,2880
Furious Wagner chief accuses Russia of killing his forces and vows revenge,1.1M,2880
Chris Christie booed while criticizing Trump,489K,2880
Obama: Race has always been ‘the fault line’ in American politics,362K,2880
James Cameron on 'fundamental flaw' in design of Titan submersible,3.3M,2880
"Missing sub crew believed to be dead, tour company says",444K,2880
SE Cupp: The hypocrisy of censuring Adam Schiff,69K,4320
Old video shows a submersible caught on Titanic's propeller,459K,4320
Vaccine scientist speaks out on harassment after Joe Rogan challenged him,123K,4320
"Where the missing submersible may be found, according to one retired Navy captain",298K,4320
He was on sub that got stuck on a Titanic exploration. Hear what he says Titan crew is experiencing,309K,4320
George Conway reacts to GOP response to Hunter Biden plea deal,243K,4320
A previous Titanic submersible traveler recalls his experience,327K,4320
CNN poll reveals how GOP is feeling about Trump post-indictment,226K,4320
See last images of submersible crew before descent to Titanic wreckage,510K,4320
Former Navy diver breaks down search for submersible near Titanic wreck,387K,4320
‘A little bit ridiculous’: Retired general on Russia’s new tactic,1.4M,4320
'Grave concern': GOP House Intel Chair on classified Trump docs,441K,4320
Who Gets to Set the AI Agenda?,11K,4320
"This is the message Putin is trying to send, says Russia expert",780K,4320
This is why the secretary of state is traveling to China,138K,4320
Report: Polling suggests federal indictment hurting Trump,376K,4320
Explosions hit Kyiv as African leaders visit,107K,4320
See what Melania Trump has been up to amid husband's legal battles,258K,4320
Hear federal charges against alleged Pentagon leaker,162K,4320
Some GOP lawmakers vow to punish DOJ over Trump indictment,160K,5760
Hear Michael Cohen’s message to Trump’s potential lawyers,425K,5760
Hear Putin's rare public admission about war,505K,5760
Laura Coates reveals she almost died during childbirth,39K,5760
"Ty Cobb breaks down Trump""s body language in court",760K,5760
Grisham: Trump ‘absolutely dejected’ heading to arraignment,473K,5760
Trump’s impeachment lawyer: Not fair to judge Trump case based on indictment,84K,1440
Chris Christie reveals the exact moment he broke with Trump,793K,1440
Former 'Inside Politics' anchor tells Dana Bash what she learned from the show,23K,1440
Putin says Russia is experiencing ‘difficult time’,563K,1440
Hear what Trump voters think about his DOJ indictment,338K,1440
Bash presses Jim Jordan on if Trump declassified documents. Hear his response,557K,1440
'Unabomber' Ted Kaczynski dies in prison. Ex-FBI official describes how he was caught,99K,1440
FBI looking for threats tied to Trump charges,222K,1440
Kirby reacts to ‘reckless and irresponsible’ move by Putin,334K,1440
Trump makes 'damning' admission on tape,396K,1440
See video Trump posted after he was indicted by DOJ,567K,1440
Hear why Cornel West is running as a third-party candidate,58K,1440
The SEC comes for the crypto bros,12K,1440
SCOTUS 'saves the day': Legal analyst breaks down Supreme Court decision on voting maps,142K,1440
Wagner chief 'certain' Russia will lose territory to Ukraine,1M,1440
Chris Christie responds to Trump's insult,1.1M,1440
'That just died': Paleoanthropologist debunks myth about humans,396K,1440
Ex-Nixon White House counsel says ‘all signs’ point to Trump indictment,188K,1440
Mark Meadows testified to federal grand jury in special counsel probe of Trump,79K,1440
Study warns Arctic could be sea ice-free by the 2030s,25K,1440
Prince Harry asked to raise his voice during cross-examination,72K,1440
Haberman breaks down why Trump feels like he might be charged,291K,1440
Mar-a-Lago pool flood raises suspicions among prosecutors in Trump classified documents case,416K,1440
Top US general says Ukraine war has 'greater meaning' for the world,340K,1440
CNN Exclusive: GOP Gov. Sununu says he will not run for president in 2024,42K,1440
Fatal crash of unresponsive plane left a ‘crater’ with few recognizable pieces,85K,1440
Video captures sonic boom caused by fighter jets being scrambled,619K,1440
Democrat asked whether Trump tape is smoking gun. Hear his response,337K,1440
Dr. Phil asked if he regrets how he handled interview with Shelley Duvall,122K,1440
CNN reporter on Biden Oval Office address: ‘Are Americans still listening to Biden?’,39K,1440
Ukraine official: Gates of war have opened on Russian territory,2.1M,1440
DeSantis praised Fauci in spring 2020 for ‘really doing a good job’,20K,1440
Top military leader creates critical problem for Putin,182K,1440
Biden trips over sandbag during Air Force Academy commencement,126K,1440
