title,views,when
College grad challenges Justice Thomas' argument on affirmative action,2.9K views,19 minutes ago
College grad challenges Justice Thomas' argument on affirmative action,2.9K views,19 minutes ago
"AI needs 'a new era of law and regulation,' says Microsoft president",10K views,9 hours ago
Hear why Pence wanted to meet with Zelensky and Ukrainian soldiers,86K views,16 hours ago
Watch as verdict is read in former Parkland school resource officer trial,26K views,21 hours ago
Legal analyst identifies part of ruling that left her scratching her head,86K views,1 day ago
Presumed human remains found in Titan wreckage,277K views,1 day ago
Putin greets supporters in rare appearance after Wagner rebellion,188K views,1 day ago
Ex-CIA operative breaks down what Putin should do next,177K views,1 day ago
Hear what ex-CIA director thinks Putin must do after rebellion,298K views,2 days ago
Ukrainian FM predicts challenges to Putin’s power,118K views,2 days ago
GOP presidential candidate fumbles question on radio show,23K views,2 days ago
The US has an empty office building problem. Here's what landlords are doing about it,156K views,3 days ago
Russia drops all charges against mercenary Wagner Group after insurrection,135K views,3 days ago
Conway explains how new Trump audio is a ‘nail in the coffin’,323K views,3 days ago
NATO allies ‘frustrated’ US didn’t share Prigozhin intel,153K views,3 days ago
Biden: We gave Putin no excuse to blame this on the West or NATO,61K views,4 days ago
Bolton: Don't underestimate Putin turning insurrection to his advantage,193K views,4 days ago
Macron addresses 'double standards' on climate change,45K views,4 days ago
Wagner insurrection: What happened in Russia?,256K views,5 days ago
CNN military analyst calls out 'losers' in Russia-Wagner conflict,678K views,5 days ago
Kremlin's secret weapon may be its biggest threat,427K views,6 days ago
White House closely monitoring developing situation in Moscow,737K views,6 days ago
Survivors describe chaos and desperation aboard ill-fated migrant boat near Greece,37K views,6 days ago
Video shows key Russian supply bridge knocked out by missile,135K views,7 days ago
James Cameron on the 'surreal irony' of Titanic wreck and Titan implosion,423K views,7 days ago
‘Elemental’ flopped. Can Pixar get its mojo back?,17K views,7 days ago
Adorable baby seal shows off its surfing skills,365K views,8 days ago
Bombshell book reveals Putin's unsuccessful assassination plot on US soil,19K views,8 days ago
Taiwan's military is preparing in case China attacks. See how,205K views,8 days ago
New report says Justice Alito failed to disclose trip with billionaire,78K views,8 days ago
Ukrainian pilots plead for F-16s as they struggle to contain Russian air power,123K views,9 days ago
Reporter behind viral report about Titan submersible reveals more about his experience,266K views,9 days ago
Maggie Haberman shares two reasons why Trump has trouble keeping lawyers,676K views,9 days ago
Russia launched ‘another massive air attack’ at Ukraine,221K views,9 days ago
Trump offers new reason for not giving classified material to investigators,221K views,10 days ago
Hear what Blinken and Xi had to say about US-China relations,68K views,10 days ago
Hundreds of bodies found in forest linked to starvation cult,62K views,11 days ago
US and China take a potentially crucial step,175K views,11 days ago
Christie on Trump: Worst manager in the history of the American presidency,594K views,12 days ago
He was prosecuted by Special Counsel Jack Smith. Hear what he knows,380K views,12 days ago
Why John Dean calls this move from Jack Smith a ‘standard procedure’ with Trump,189K views,13 days ago
Video exposes rape allegedly carried out by Wagner-backed militia in Sudan,336K views,13 days ago
Merrick Garland: Minneapolis PD violated Constitution,50K views,2 weeks ago
Obama responds to Sen. Tim Scott's comments about race in America,453K views,2 weeks ago
‘The minutia matters’: How Trump may be able to drag out his trial date,93K views,2 weeks ago
Hear top US general's evaluation of Russia's military leadership,672K views,2 weeks ago
Gratuitous Gratuity? The Truth About Tipping,13K views,2 weeks ago
Legal expert predicts Trump's possible sentence if convicted for mishandling classified documents,410K views,2 weeks ago
Video shows Ukrainian soldiers firing at holed up Russian fighters,927K views,2 weeks ago
Watergate lawyer and journalist break down Trump indictment,234K views,2 weeks ago
Hear John Bolton's advice to special counsel Jack Smith about how to approach Trump's trial,317K views,2 weeks ago
NATO Secretary General: Sweden has delivered on their commitments,175K views,2 weeks ago
Exclusive video shows Trump at his hotel ahead of arraignment,127K views,2 weeks ago
"The biggest security threats at Trump's court appearance, according to former DHS head",134K views,2 weeks ago
'Ridiculous': Attorney slams Lindsey Graham's argument about Trump's indictment,754K views,2 weeks ago
Bolton makes prediction on Trump's political career after indictment,1.7M views,2 weeks ago
Aerial footage shows collapsed section of I-95 in Philadelphia,96K views,2 weeks ago
"Why Trump's comparison to Biden's 1,850 boxes is a false equivalency",105K views,2 weeks ago
Chris Christie reacts to Trump federal indictment,913K views,2 weeks ago
See Special Counsel Jack Smith's statement on Trump indictment,567K views,2 weeks ago
Trump aide indicted in classified documents case,160K views,3 weeks ago
Attorney calls Trump's Espionage Act charge 'ludicrous',167K views,3 weeks ago
Ukraine claims new progress in key advance against Russia,544K views,3 weeks ago
Bipartisan group urges White House to give Ukraine F-16 jets,69K views,3 weeks ago
Ex-White House official: Trump knew proper declassification process,152K views,3 weeks ago
Inaugural poet Amanda Gorman felt 'shock and grief' after Florida school restricted her book,19K views,3 weeks ago
New Trump ad claims he's being attacked by 'rabid wolves' ahead of possible indictment,143K views,3 weeks ago
Ex-Trump attorney explains why he's not concerned with Meadows testimony,68K views,3 weeks ago
"DNA led to arrest of Boston serial rapist suspect, prosecutor says",89K views,3 weeks ago
Why Ukrainian official believes Russia is responsible for dam collapse,241K views,3 weeks ago
At least 42 people dead in Haiti flooding,37K views,3 weeks ago
PGA Tour announces shock merger with Saudi-backed LIV Golf,25K views,3 weeks ago
Hear Chinese citizens' opinions of the US as tensions grow,168K views,3 weeks ago
Tim Scott pushes back on criticism during appearance on 'The View',121K views,3 weeks ago
"See Apple's new $3,499 mixed reality headset",31K views,3 weeks ago
"Ukraine has ‘advanced’ in the east, deputy defense minister says",779K views,3 weeks ago
Here's why Haley thinks DeSantis is going after Disney,83K views,3 weeks ago
Nikki Haley breaks with Donald Trump on Putin and Ukraine,345K views,3 weeks ago
'We failed': GOP lawmaker criticizes McCarthy over debt deal,200K views,3 weeks ago
Smerconish spoofs DeSantis' name pronunciation change,91K views,3 weeks ago
George Conway: Missing Trump document ‘another smoking gun’,482K views,3 weeks ago
Trump's lawyers can't find this key classified document,94K views,3 weeks ago
‘Pattern emerging’: Russians in border regions report new attacks,531K views,4 weeks ago
Senate passes debt limit deal to avert default,31K views,4 weeks ago
Failed GOP candidate indicted in alleged shooting spree targeting Democrats,55K views,4 weeks ago
Senate races to avert default but vote timing unclear,59K views,4 weeks ago
Three killed in Kyiv after finding bomb shelter locked,27K views,4 weeks ago
'Huge win for Kevin McCarthy': Former Trump adviser on debt deal,35K views,4 weeks ago
NASA reveals unidentified objects in public meeting,305K views,4 weeks ago
Neil deGrasse Tyson says this Chinese move is putting pressure on NASA,100K views,1 month ago
Surveillance footage shows moments before teen girl in India is killed in public,92K views,1 month ago
Devastating new details emerge in alleged Pittsburgh synagogue shooter’s trial,45K views,1 month ago
Striking shift in demographics could give Democrats advantage,78K views,1 month ago
Drone attack in Moscow leaves buildings damaged,185K views,1 month ago
‘She’s not herself’: Report says Feinstein relying heavily on staff since return to Senate,59K views,1 month ago
See moment Ukrainian forces down a Russian Shahed drone,155K views,1 month ago
Killer whales are sinking boats off the coast of Spain. Expert has theory why,154K views,1 month ago
'I cried': CNN reporter describes reaction to remake of 'The Little Mermaid',53K views,1 month ago
Oakland A's baseball announcer fired for use of N-word on air,93K views,1 month ago
See how Russian pranksters are tricking influential foreign leaders,60K views,1 month ago
Jessica Watkins: Oath Keepers member sentenced to 8.5 years in prison for Jan. 6,138K views,1 month ago
Legal expert reacts to new report about Trump's Mar-a-Lago documents,269K views,1 month ago
Hear why retired general believes cross border raids in Russia are effective,654K views,1 month ago
How ESPN could destroy the cable business,28K views,1 month ago
'It's a very bad look': Social media expert breaks down DeSantis tech issues,49K views,1 month ago
