title,views,when
Lindsey Graham booed at Trump rally in his home state,26K views,1 hour ago
Lindsey Graham booed at Trump rally in his home state,26K views,1 hour ago
Zelensky calls Putin's reaction to Wagner rebellion 'weak',71K views,6 hours ago
'Losing the 21st century': Fareed examines the state of Russian society,261K views,1 day ago
Ex-CIA operative shares what Wagner rebellion shows about Putin,318K views,1 day ago
‘The ocean coughing up death’: This toxic algae bloom is killing sea life in record numbers,115K views,2 days ago
Ukrainian fighter shows off Russian hypersonic missile he shot down,301K views,2 days ago
College grad challenges Justice Thomas' argument on affirmative action,124K views,3 days ago
"AI needs 'a new era of law and regulation,' says Microsoft president",18K views,3 days ago
See the fiery riots in France after teen shot dead by police,217K views,3 days ago
Documents suggest top Russian general was VIP member of Wagner,417K views,3 days ago
Hear what happened inside the Supreme Court after affirmative action ruling,236K views,4 days ago
Meet the New Homeschoolers,7K views,4 days ago
Russia expert points out what’s ‘crazy’ about new Putin video,651K views,4 days ago
Pieces of Titan submersible wreckage retrieved from ocean floor,255K views,4 days ago
Expert predicts what's next for Prigozhin,219K views,5 days ago
Here's what happened to those who defied Putin in the past,44K views,5 days ago
Trump responds to audio obtained by CNN of his 2021 conversation about classified documents,401K views,5 days ago
Ukraine claims frontline advances amid Russian chaos,392K views,6 days ago
CNN Reporter calls out 'lie' after Putin thanks troops for stopping 'civil war',254K views,6 days ago
Esper: Trump audio about classified documents 'stunning',164K views,6 days ago
Belarusian opposition leader issues warning about Prigozhin,474K views,6 days ago
'Mafia mentality': US diplomat on Putin vs Prigozhin,186K views,6 days ago
"Wagner developments show ‘weakness’ of Russian regime, NATO chief says",59K views,7 days ago
Macron says a global agenda is 'impossible' without US-China cooperation,140K views,7 days ago
Blinken on Russia-Wagner conflict: Cracks emerged that weren't there before,458K views,8 days ago
Video shows Wagner boss leaving Russian military headquarters,1.5M views,8 days ago
'Beginning of the end of Russia's war': Ex-NATO ambassador suggests,520K views,9 days ago
Marine certification company says it 'declined' request to certify OceanGate Titan,562K views,9 days ago
Why the Russian FSB is encouraging Prigozhin's Wagner Group soldiers to detain their leader,1.4M views,9 days ago
"IRS recommended far more charges, including felonies, against Hunter Biden, whistleblowers say",67K views,10 days ago
Obama on Trump indictment: 'Nobody is above the law',1.3M views,10 days ago
Expert reveals first indication of implosion in search for submersible,164K views,10 days ago
Officials: Debris field discovered in search area of missing submersible,255K views,11 days ago
After Roe: Navigating the Legal Landscape of New Abortion Laws,7.8K views,11 days ago
CNN visits liberated Ukrainian village amid slow-grinding counteroffensive,238K views,11 days ago
Diver once trapped on ocean floor tells survival story,407K views,11 days ago
Coast Guard says banging noises heard from search area for Titanic submersible for second day,130K views,12 days ago
Banging noises heard during search for submersible,133K views,12 days ago
'A matter of life and death': Ukrainian pilots say they need F-16s,375K views,12 days ago
Survivors give horrific accounts of 'parade' of sexual abuse at Catholic high school,42K views,12 days ago
Attorney issues statement after Hunter Biden strikes deal with DOJ,130K views,13 days ago
'Divine 9' perform at Juneteenth concert,108K views,13 days ago
Submersible that can carry tourists to see Titanic wreckage disappears,269K views,13 days ago
Former Trump officials condemn handling of classified docs,99K views,2 weeks ago
Pastor stands up for son after church excludes LGBTQ supporters,53K views,2 weeks ago
Bill Nye breaks down 'extraordinary discovery' found on moon of Saturn,573K views,2 weeks ago
Schwarzenegger: Why I don't think Trump will win a second presidential election,2.1M views,2 weeks ago
See infantry fighting vehicle Ukrainians forces managed to capture from Russians,507K views,2 weeks ago
Synagogue gunman guilty on all charges,27K views,2 weeks ago
Ukrainian military claims ‘partial success’ in several directions,219K views,2 weeks ago
E. Jean Carroll defamation suit against Trump scheduled for January,93K views,2 weeks ago
Why users are mad at Reddit,26K views,2 weeks ago
Study: Key element essential for life found on Saturn's icy moon,38K views,2 weeks ago
Adam Schiff calls GOP’s efforts to censure him an ‘embarrassment’,226K views,2 weeks ago
Haberman reveals what has Trump 'especially rattled',340K views,2 weeks ago
Trump speaks out after historic arraignment. Hear AOC’s reaction,766K views,2 weeks ago
Trump's pit stop after his arrest was a key play. Here's why,179K views,2 weeks ago
Russia launches missile attack on Ukraine killing at least 11 people,100K views,2 weeks ago
Former Oath Keeper on Trump indictment rhetoric from lawmakers,102K views,2 weeks ago
Former Trump White House lawyer on the most damning part of Trump indictment,599K views,2 weeks ago
Zelensky adviser sets ‘ultimate goal’ for counteroffensive,373K views,2 weeks ago
Ukrainian soldier raises flag in newly liberated village,88K views,3 weeks ago
Bill Barr rebuts Trump's claim about indictment: He is not a victim here,675K views,3 weeks ago
Trump speaks out about DOJ indictment for first time,404K views,3 weeks ago
"This witness testimony was critical in Trump indictment, according to one attorney",277K views,3 weeks ago
CNN rolls tape on Trump attacking Hillary Clinton over classified documents in 2016,258K views,3 weeks ago
Haberman on what is ‘really striking’ about Trump recording transcript,231K views,3 weeks ago
Presidential historian explains why Trump indictment is 'a seismic moment',258K views,3 weeks ago
"Trump indicted in classified documents probe, sources say",158K views,3 weeks ago
Man accused of defrauding and extorting Natalee Holloway’s mom arrives in US,65K views,3 weeks ago
Ukraine’s troops are trying to break through Russian lines,527K views,3 weeks ago
Pence reacts to DOJ targeting Trump in classified documents probe,125K views,3 weeks ago
